graph_type,n_left,n_right,num_vertices,num_edges,density,average_degree,max_degree,degree_variance,degree_gini,param,trial,seed,optimal_size,greedy_size,random_greedy_size,modern_estimate,modern_mu1,modern_mu2,selected_case,M_size,Mprime_estimate,B1_estimate,B2_estimate,unmatched_num_vertices,copied_num_vertices,case1_copied_num_vertices,case2_copied_num_vertices,epsilon,k,sparsify_c,greedy_ratio,random_greedy_ratio,modern_ratio,modern_error,modern_relative_error,t_greedy,t_random_greedy,t_modern,t_hopcroft
er,100,100,200,1028,0.1028,10.28,19,8.3316,0.15804961089494185,0.1,4,100140787,100,95,92,92.0,92.0,69.86086402679439,case1,92,0.0,0.0,154.20559069705988,16,160,160,896,0.5,4,150,0.95,0.92,0.92,-8.0,-0.08,3.500000457279384e-05,2.7700007194653153e-05,0.04028729999845382,0.0005988999910186976
er,250,250,500,628,0.010048,2.512,9,2.409856,0.3393280254777069,0.01,0,250010787,219,184,182,190.0,190.0,153.94759192011298,case1,190,0.0,0.0,411.8471498293099,120,1200,1200,2720,0.5,4,278,0.8401826484018264,0.8310502283105022,0.867579908675799,-29.0,-0.1324200913242009,4.2499988921917975e-05,3.609999839682132e-05,0.0436282000009669,0.001484699998400174
er,250,250,500,627,0.010032,2.508,8,2.509936,0.3470845295055822,0.01,1,250020787,215,184,171,191.0,191.0,153.06192851333472,case1,191,0.0,0.0,397.63757314645085,118,1180,1180,2708,0.5,4,278,0.8558139534883721,0.7953488372093023,0.8883720930232558,-24.0,-0.11162790697674418,4.020000051241368e-05,2.920000406447798e-05,0.0403018999932101,0.0010930999997071922
er,250,250,500,651,0.010416,2.604,9,2.203184,0.3121935483870968,0.01,2,250030787,227,193,189,192.0,192.0,163.90877083995008,case1,192,0.0,0.0,496.7270943123078,116,1160,1160,2696,0.5,4,278,0.8502202643171806,0.8325991189427313,0.8458149779735683,-35.0,-0.15418502202643172,3.2499985536560416e-05,3.0499999411404133e-05,0.0464944999985164,0.0013942999939899892
er,250,250,500,634,0.010144,2.536,8,2.4767040000000002,0.3425678233438485,0.01,3,250040787,220,189,179,192.0,192.0,150.05633101738115,case1,192,0.0,0.0,362.9561019458956,116,1160,1160,2696,0.5,4,278,0.8590909090909091,0.8136363636363636,0.8727272727272727,-28.0,-0.12727272727272726,4.359999729786068e-05,0.0001016000023810193,0.036441299991565756,0.0012231000000610948
er,250,250,500,632,0.010112,2.528,10,2.565216,0.34829746835443043,0.01,4,250050787,214,183,179,189.0,189.0,150.72158926430646,case1,189,0.0,0.0,386.3509666232031,122,1220,1220,2732,0.5,4,278,0.8551401869158879,0.8364485981308412,0.883177570093458,-25.0,-0.11682242990654206,4.4200001866556704e-05,3.0800001695752144e-05,0.044036299994331785,0.0011088000028394163
er,250,250,500,3138,0.050208,12.552,25,11.843296,0.15245825366475452,0.05,0,250050787,250,239,233,237.0,237.0,163.63847664276844,case1,237,0.0,0.0,239.55846141848411,26,260,260,2156,0.5,4,278,0.956,0.932,0.948,-13.0,-0.052,0.00023530000180471689,9.079999290406704e-05,0.0855087999952957,0.0018437999970046803
er,250,250,500,3128,0.050048,12.512,23,11.841856,0.15389514066496157,0.05,1,250060787,250,239,229,235.0,235.0,162.0061235173522,case1,235,0.0,0.0,235.1087737016208,30,300,300,2180,0.5,4,278,0.956,0.916,0.94,-15.0,-0.06,9.080000745598227e-05,0.00010010000551119447,0.08957650000229478,0.0023539999965578318
er,250,250,500,3211,0.051376,12.844,24,11.811664,0.1499134226097789,0.05,2,250070787,250,236,233,235.0,235.0,165.60929284722502,case1,235,0.0,0.0,269.9040547564438,30,300,300,2180,0.5,4,278,0.944,0.932,0.94,-15.0,-0.06,9.220000356435776e-05,9.699999645818025e-05,0.08404260000679642,0.0018126999930245802
er,250,250,500,3132,0.050112,12.528,27,12.233216,0.15697062579821197,0.05,3,250080787,250,238,230,234.0,234.0,166.46046241119637,case1,234,0.0,0.0,283.78052942681165,32,320,320,2192,0.5,4,278,0.952,0.92,0.936,-16.0,-0.064,0.00010550000297371298,8.710000838618726e-05,0.08720019999600481,0.0018004000012297183
