graph_type,n_left,n_right,num_vertices,num_edges,density,expected_average_degree,average_degree,max_degree,degree_variance,degree_gini,param,trial,seed,optimal_size,greedy_size,random_greedy_size,modern_estimate,modern_mu1,modern_mu2,selected_case,M_size,Mprime_estimate,B1_estimate,B2_estimate,unmatched_num_vertices,copied_num_vertices,case1_copied_num_vertices,case2_copied_num_vertices,epsilon,k,sparsify_c,greedy_ratio,random_greedy_ratio,modern_ratio,modern_error,modern_relative_error,t_greedy,t_random_greedy,t_modern,t_modern_sparsify,t_modern_case1,t_modern_case2,t_modern_other,t_hopcroft
er,50,50,100,762,0.3048,16.0,15.24,23,7.1424,0.09707349081364836,0.32,0,50860787,50,49,47,50.0,50.0,29.28932188134524,case1,50,0.0,0.0,0.0,0,0,0,200,0.7,2,93,0.98,0.94,1.0,0.0,0.0,2.880001557059586e-05,1.999997766688466e-05,0.0016568000137340277,7.799998275004327e-05,1.170000177808106e-05,0.0013926000101491809,0.00017450001905672252,0.0005423000256996602
er,50,50,100,760,0.304,16.0,15.2,23,10.82,0.12215789473684202,0.32,1,50870787,50,49,48,49.0,49.0,28.703535443718337,case1,49,0.0,0.0,0.0,2,10,10,206,0.7,2,93,0.98,0.96,0.98,-1.0,-0.02,2.300000051036477e-05,1.990000600926578e-05,0.004676799988374114,0.00011530000483617187,0.00043360001291148365,0.0039551999943796545,0.000172699976246804,0.0009922000172082335
er,50,50,100,811,0.3244,16.0,16.22,24,11.531600000000001,0.11844636251541307,0.32,2,50880787,50,49,47,48.0,48.0,29.652878839119033,case1,48,0.0,0.0,7.412262525797546,4,20,20,212,0.7,2,93,0.98,0.94,0.96,-2.0,-0.04,2.340000355616212e-05,2.0700012100860476e-05,0.010340000008000061,0.0001433999859727919,0.0005099000118207186,0.00952079999842681,0.00016590001177974045,0.0009978000016417354
er,50,50,100,799,0.3196,16.0,15.98,25,10.2196,0.10843554443053827,0.32,3,50890787,50,49,48,48.0,48.0,30.102434855619524,case1,48,0.0,0.0,9.582910989961368,4,20,20,212,0.7,2,93,0.98,0.96,0.96,-2.0,-0.04,2.4899985874071717e-05,2.030000905506313e-05,0.009628700005123392,0.00012389998300932348,0.00044579998939298093,0.008893400023225695,0.00016560000949539244,0.0003714999766089022
er,50,50,100,788,0.3152,16.0,15.76,23,8.4824,0.10280456852791886,0.32,4,50900787,50,48,49,50.0,50.0,29.28932188134524,case1,50,0.0,0.0,0.0,0,0,0,200,0.7,2,93,0.96,0.98,1.0,0.0,0.0,2.1299987565726042e-05,1.71000137925148e-05,0.0012289999867789447,5.500001134350896e-05,1.170000177808106e-05,0.0010221999837085605,0.00014009998994879425,0.00043459999142214656
er,50,50,100,801,0.3204,16.0,16.02,24,10.3196,0.11279650436953803,0.32,5,50910787,50,49,48,48.0,48.0,29.840193845994236,case1,48,0.0,0.0,8.316699385865805,4,20,20,212,0.7,2,93,0.98,0.96,0.96,-2.0,-0.04,2.4999986635521054e-05,2.2599997464567423e-05,0.014467000000877306,0.0001598999951966107,0.0006682000239379704,0.013466700009303167,0.00017219997243955731,0.0004120999947190285
er,50,50,100,844,0.3376,16.0,16.88,24,10.845600000000001,0.11086492890995259,0.32,6,50920787,50,48,46,48.0,48.0,30.252286861119686,case1,48,0.0,0.0,10.306460478015973,4,20,20,212,0.7,2,93,0.96,0.92,0.96,-2.0,-0.04,2.4900014977902174e-05,1.8799997633323073e-05,0.01389890001155436,0.0001419999753125012,0.000499200017657131,0.013075900002149865,0.0001818000164348632,0.000402199977543205
er,50,50,100,763,0.3052,16.0,15.26,24,10.5124,0.11809960681520315,0.32,7,50930787,50,46,47,48.0,48.0,30.214823859744648,case1,48,0.0,0.0,10.125573106002323,4,20,20,212,0.7,2,93,0.92,0.94,0.96,-2.0,-0.04,2.2799998987466097e-05,1.9099999917671084e-05,0.011966999998549,0.00012850001803599298,0.0004393999988678843,0.011250499985180795,0.00014859999646432698,0.0004391999973449856
er,50,50,100,808,0.3232,16.0,16.16,25,12.2144,0.1217574257425742,0.32,8,50940787,50,48,47,47.0,47.0,31.2929601624356,case1,47,0.0,0.0,18.15970279883509,6,30,30,218,0.7,2,93,0.96,0.94,0.94,-3.0,-0.06,2.5500019546598196e-05,1.9500002963468432e-05,0.013914300012402236,0.00015750000602565706,0.00045399999362416565,0.013126400008331984,0.00017640000442042947,0.00040109999827109277
er,50,50,100,796,0.3184,16.0,15.92,22,8.7536,0.10507537688442214,0.32,9,50950787,50,48,47,49.0,49.0,28.748273986193595,case1,49,0.0,0.0,0.2160167920091478,2,10,10,206,0.7,2,93,0.96,0.94,0.98,-1.0,-0.02,2.5299988919869065e-05,1.8699996871873736e-05,0.0054783999803476036,8.6499989265576e-05,0.0004120999947190285,0.004807600023923442,0.00017219997243955731,0.0004639000107999891
