graph_type,n_left,n_right,num_vertices,num_edges,density,expected_average_degree,average_degree,max_degree,degree_variance,degree_gini,param,trial,seed,optimal_size,greedy_size,random_greedy_size,modern_estimate,modern_mu1,modern_mu2,selected_case,M_size,Mprime_estimate,B1_estimate,B2_estimate,unmatched_num_vertices,copied_num_vertices,case1_copied_num_vertices,case2_copied_num_vertices,epsilon,k,sparsify_c,greedy_ratio,random_greedy_ratio,modern_ratio,modern_error,modern_relative_error,t_greedy,t_random_greedy,t_modern,t_modern_sparsify,t_modern_case1,t_modern_case2,t_modern_other,t_hopcroft
er,50,50,100,194,0.0776,4.0,3.88,10,3.9856,0.28422680412371126,0.08,5,50390787,48,40,40,42.0,42.0,36.10265145138386,case1,42,0.0,0.0,444.2006584302344,16,624,624,1968,0.3,16,93,0.8333333333333334,0.8333333333333334,0.875,-6.0,-0.125,1.2600008631125093e-05,8.799979696050286e-06,0.056694200000492856,0.00032270001247525215,0.0008563000010326505,0.05545200000051409,6.319998647086322e-05,0.000548899988643825
er,50,50,100,189,0.0756,4.0,3.78,8,3.3716,0.27328042328042335,0.08,6,50400787,48,42,37,41.0,41.0,33.96824703002974,case1,41,0.0,0.0,384.38154580224807,18,702,702,2014,0.3,16,93,0.875,0.7708333333333334,0.8541666666666666,-7.0,-0.14583333333333334,1.1900003300979733e-05,9.500014130026102e-06,0.04749409999931231,0.00043059999006800354,0.0009637000039219856,0.04602410001098178,7.569999434053898e-05,0.00027400001999922097
er,50,50,100,226,0.0904,4.0,4.52,12,4.6296,0.2612389380530973,0.08,7,50410787,48,42,43,44.0,44.0,34.69298818944322,case1,44,0.0,0.0,344.49417378859613,12,468,468,1876,0.3,16,93,0.875,0.8958333333333334,0.9166666666666666,-4.0,-0.08333333333333333,1.0000017937272787e-05,8.800008799880743e-06,0.03214350002235733,0.0002604000037536025,0.0007061000214889646,0.031119899998884648,5.709999823011458e-05,0.00024789999588392675
er,50,50,100,214,0.0856,4.0,4.28,11,3.9016,0.25593457943925224,0.08,8,50420787,48,43,44,44.0,44.0,32.70391487115331,case1,44,0.0,0.0,267.6614092834767,12,468,468,1876,0.3,16,93,0.8958333333333334,0.9166666666666666,0.9166666666666666,-4.0,-0.08333333333333333,1.300001167692244e-05,8.000002708286047e-06,0.03438960001221858,0.0002503999858163297,0.0006834000232629478,0.03338649999932386,6.930000381544232e-05,0.00020459998631849885
er,50,50,100,182,0.0728,4.0,3.64,9,3.2304,0.2742307692307693,0.08,9,50430787,48,41,40,40.0,40.0,35.29978872881413,case1,40,0.0,0.0,458.442979249347,20,780,780,2060,0.3,16,93,0.8541666666666666,0.8333333333333334,0.8333333333333334,-8.0,-0.16666666666666666,8.90000956133008e-06,7.599999662488699e-06,0.05483100001583807,0.0003741999971680343,0.0008113000076264143,0.05359259998658672,5.290002445690334e-05,0.00024380002287216485
er,50,50,100,186,0.0744,4.0,3.72,9,3.5816,0.27806451612903227,0.08,10,50440787,47,41,40,43.0,43.0,32.761935413524604,case1,43,0.0,0.0,292.53000996607057,14,546,546,1922,0.3,16,93,0.8723404255319149,0.851063829787234,0.9148936170212766,-4.0,-0.0851063829787234,9.600014891475439e-06,8.000002708286047e-06,0.04519900001469068,0.0004955999902449548,0.000901699997484684,0.043743699992774054,5.800003418698907e-05,0.0002972000220324844
er,50,50,100,196,0.0784,4.0,3.92,9,4.0136,0.2875000000000001,0.08,11,50450787,48,43,41,42.0,42.0,33.58132077393535,case1,42,0.0,0.0,346.8081669626576,16,624,624,1968,0.3,16,93,0.8958333333333334,0.8541666666666666,0.875,-6.0,-0.125,1.2300006346777081e-05,9.200011845678091e-06,0.05069869998260401,0.00030429998878389597,0.0008291999984066933,0.04949929998838343,6.590000702999532e-05,0.00027660001069307327
er,50,50,100,194,0.0776,4.0,3.88,10,4.4056,0.29902061855670103,0.08,12,50460787,48,41,39,38.0,38.0,34.14791927173634,case1,38,0.0,0.0,459.20407139951766,24,936,936,2152,0.3,16,93,0.8541666666666666,0.8125,0.7916666666666666,-10.0,-0.20833333333333334,9.90001717582345e-06,8.700008038431406e-06,0.07086330000311136,0.00048729998525232077,0.0009271000162698328,0.0693928999826312,5.600001895800233e-05,0.000228899996727705
er,50,50,100,201,0.0804,4.0,4.02,10,3.5996,0.26119402985074625,0.08,13,50470787,49,44,40,43.0,43.0,36.03097988610586,case1,43,0.0,0.0,418.8047539933743,14,546,546,1922,0.3,16,93,0.8979591836734694,0.8163265306122449,0.8775510204081632,-6.0,-0.12244897959183673,9.599985787644982e-06,7.599999662488699e-06,0.050558999995701015,0.000291600008495152,0.0007991999736987054,0.049415100016631186,5.3099996875971556e-05,0.00020929999300278723
er,50,50,100,208,0.0832,4.0,4.16,10,4.0544,0.26668269230769237,0.08,14,50480787,49,42,45,43.0,43.0,33.31385201279157,case1,43,0.0,0.0,313.8491225940569,14,546,546,1922,0.3,16,93,0.8571428571428571,0.9183673469387755,0.8775510204081632,-6.0,-0.12244897959183673,1.170000177808106e-05,8.700008038431406e-06,0.054132599994773045,0.00031060000765137374,0.0007857999880798161,0.0529687000089325,6.749999010935426e-05,0.0003242999955546111
er,50,50,100,185,0.074,4.0,3.7,9,3.47,0.28129729729729736,0.08,15,50490787,47,42,40,43.0,43.0,33.44121738185318,case1,43,0.0,0.0,318.7689178158999,14,546,546,1922,0.3,16,93,0.8936170212765957,0.851063829787234,0.9148936170212766,-4.0,-0.0851063829787234,1.1299998732283711e-05,8.90000956133008e-06,0.05682289999094792,0.00034020000020973384,0.001297999988310039,0.05512480001198128,5.989999044686556e-05,0.0005949999904260039
er,50,50,100,193,0.0772,4.0,3.86,9,3.5804,0.27300518134715035,0.08,16,50500787,48,41,38,41.0,41.0,34.2351709148269,case1,41,0.0,0.0,394.69212600702616,18,702,702,2014,0.3,16,93,0.8541666666666666,0.7916666666666666,0.8541666666666666,-7.0,-0.14583333333333334,1.1199997970834374e-05,9.700015652924776e-06,0.06998180001392029,0.0003397999971639365,0.0008826999983284622,0.06869830001960509,6.0999998822808266e-05,0.00022600000374950469
er,50,50,100,193,0.0772,4.0,3.86,9,3.8004000000000002,0.27984455958549215,0.08,17,50510787,49,42,39,42.0,42.0,31.625115937983914,case1,42,0.0,0.0,271.24502703091696,16,624,624,1968,0.3,16,93,0.8571428571428571,0.7959183673469388,0.8571428571428571,-7.0,-0.14285714285714285,1.1800002539530396e-05,8.000002708286047e-06,0.06382660000235774,0.0003698999935295433,0.0008077000093180686,0.06257999999797903,6.900000153109431e-05,0.00028369997744448483
er,50,50,100,222,0.0888,4.0,4.44,10,4.0664,0.2534234234234234,0.08,18,50520787,49,45,40,42.0,42.0,36.58083485572755,case1,42,0.0,0.0,462.67164819132654,16,624,624,1968,0.3,16,93,0.9183673469387755,0.8163265306122449,0.8571428571428571,-7.0,-0.14285714285714285,1.1299998732283711e-05,8.99998121894896e-06,0.07649609999498352,0.00038049998693168163,0.0011818000057246536,0.07486329998937435,7.050001295283437e-05,0.00023940001847222447
er,50,50,100,220,0.088,4.0,4.4,10,3.46,0.2325454545454546,0.08,19,50530787,50,43,41,43.0,43.0,37.092357961619264,case1,43,0.0,0.0,459.8030475087327,14,546,546,1922,0.3,16,93,0.86,0.82,0.86,-7.0,-0.14,1.0800024028867483e-05,9.99998883344233e-06,0.0808639999886509,0.0003118000167887658,0.0010258999827783555,0.0794651000178419,6.119997124187648e-05,0.00024280001525767148
er,50,50,100,401,0.1604,8.0,8.02,14,5.6396,0.16408977556109727,0.16,0,50380787,50,47,47,49.0,49.0,30.313100864032005,case1,49,0.0,0.0,62.17335467596819,2,78,78,1646,0.3,16,93,0.94,0.94,0.98,-1.0,-0.02,1.750001683831215e-05,1.3299984857439995e-05,0.044413499999791384,0.00011770002311095595,0.0006051999807823449,0.0435709000157658,0.00011969998013228178,0.00032530000316910446
